               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 115,              0.0286,            0.059799,           0.0066182,             0.88345,             0.83896,             0.88895,             0.68479,            0.026212,            0.069397,            0.011247,            0.006238,            0.006238,            0.006238
                 116,            0.028541,            0.059478,           0.0066691,             0.88252,             0.84358,             0.88806,             0.68431,            0.026216,            0.069716,            0.011169,            0.006205,            0.006205,            0.006205
                 117,            0.028219,            0.060802,           0.0065579,              0.8849,             0.84584,             0.88853,             0.68314,            0.026208,            0.069795,             0.01126,            0.006172,            0.006172,            0.006172
                 118,            0.028599,            0.059726,            0.006402,             0.88586,             0.84205,              0.8854,             0.68123,            0.026303,            0.070623,              0.0113,            0.006139,            0.006139,            0.006139
                 119,            0.028075,            0.059181,           0.0065202,             0.89091,             0.83638,             0.88737,             0.68524,            0.026252,            0.069944,            0.011192,            0.006106,            0.006106,            0.006106
                 120,            0.028298,            0.058936,           0.0064579,             0.88636,             0.84334,             0.88812,             0.68526,             0.02619,            0.069763,            0.011215,            0.006073,            0.006073,            0.006073
                 121,            0.028432,            0.059242,           0.0065451,              0.8908,             0.83893,             0.88782,             0.68579,            0.026223,            0.069893,            0.011237,             0.00604,             0.00604,             0.00604
                 122,            0.028108,            0.059397,           0.0064967,             0.89379,             0.83691,             0.88832,             0.68679,            0.026208,            0.069789,            0.011352,            0.006007,            0.006007,            0.006007
                 123,            0.028086,            0.059778,           0.0064016,             0.89241,             0.83782,             0.88841,             0.68835,            0.026175,            0.070021,            0.011448,            0.005974,            0.005974,            0.005974
                 124,            0.028202,            0.059416,           0.0065539,             0.88757,             0.84214,             0.88728,              0.6888,            0.026163,            0.070015,            0.011421,            0.005941,            0.005941,            0.005941
                 125,            0.028126,            0.058459,           0.0064806,              0.8906,             0.83864,              0.8882,             0.68812,            0.026185,             0.06986,             0.01145,            0.005908,            0.005908,            0.005908
                 126,            0.027918,            0.059581,           0.0062892,             0.88846,             0.84297,               0.888,             0.68904,            0.026152,            0.069932,            0.011585,            0.005875,            0.005875,            0.005875
                 127,            0.028159,             0.05988,           0.0063602,             0.88866,             0.84357,             0.88897,             0.68851,            0.026122,            0.069979,            0.011286,            0.005842,            0.005842,            0.005842
                 128,            0.027877,            0.058358,           0.0062068,             0.88638,             0.84507,              0.8877,              0.6882,            0.026099,            0.069885,            0.011298,            0.005809,            0.005809,            0.005809
                 129,            0.028011,             0.05834,           0.0062572,             0.88644,             0.84499,             0.88757,             0.68894,            0.026126,            0.070035,            0.011271,            0.005776,            0.005776,            0.005776
                 130,            0.027908,            0.058348,             0.00627,             0.88757,             0.84209,             0.88708,             0.68918,            0.026097,            0.070114,            0.011327,            0.005743,            0.005743,            0.005743
                 131,            0.028187,             0.05942,           0.0062765,             0.88871,             0.84256,             0.88909,             0.68939,            0.026053,            0.069864,              0.0114,             0.00571,             0.00571,             0.00571
                 132,            0.028082,            0.058843,           0.0061742,             0.88818,             0.84485,             0.88952,             0.68982,            0.026058,            0.069849,            0.011442,            0.005677,            0.005677,            0.005677
                 133,            0.027781,             0.05844,           0.0061817,             0.88844,             0.84152,             0.88975,             0.69143,            0.026046,            0.069926,            0.011503,            0.005644,            0.005644,            0.005644
                 134,             0.02775,            0.057662,           0.0062505,             0.89147,             0.84111,             0.89046,             0.69221,            0.026046,            0.069936,            0.011605,            0.005611,            0.005611,            0.005611
                 135,            0.027491,            0.057348,           0.0060935,             0.89119,             0.84157,             0.88953,              0.6942,             0.02601,            0.069937,            0.011752,            0.005578,            0.005578,            0.005578
                 136,            0.027844,              0.0575,             0.00598,             0.88558,             0.84744,             0.88913,             0.69404,            0.026042,            0.070092,            0.011812,            0.005545,            0.005545,            0.005545
                 137,            0.027646,            0.058298,           0.0061017,             0.88606,             0.84698,             0.88863,             0.69246,            0.026081,            0.070257,            0.011827,            0.005512,            0.005512,            0.005512
                 138,            0.027609,            0.057684,           0.0060432,             0.88349,             0.84977,             0.88967,             0.69495,             0.02609,            0.070178,            0.011697,            0.005479,            0.005479,            0.005479
                 139,            0.027665,            0.058845,           0.0059508,              0.8824,             0.84967,             0.88966,             0.69402,            0.026063,             0.07009,            0.011725,            0.005446,            0.005446,            0.005446
                 140,            0.027768,             0.05836,           0.0060502,             0.88498,             0.84548,             0.88893,             0.69477,            0.026084,            0.070228,            0.011744,            0.005413,            0.005413,            0.005413
                 141,            0.027526,            0.058361,           0.0059013,             0.88536,             0.84638,             0.88868,             0.69386,            0.026069,            0.070053,            0.011707,             0.00538,             0.00538,             0.00538
